Country, Sum_of_infantry_weapon
Austria,	13
Belgium,	23
Brazil,	32
Malaysia,	47
Bulgaria,	24
Canada,	30
China,	60
Czechoslovakia,	16
Denmark,	19
Estonia,	9
Finland,	71
France,	41
Nazi Germany,	108
Greece,	33
Hungary,	43
Croatia,	25
Italy,	55
Japan,	68
Latvia,	10
Lithuania,	18
Luxembourg,	14
Manchukuo,	13
Mexico,	17
Mongolia,	6
New Zealand,	16
Norway,	18
Poland,	57
Romania,	24
Slovak Republic,	8
South Africa,	13
USSR,	56
Thailand,	26
The Netherlands,	26
UK,	51
US,	58
Yugoslavia,	39
Grand Total,	1187
